EducationalInstitution,Settlement,City,State,areaCode,postalCode
William Paterson University of New Jersey,300 Pompton Rd,Wayne,New Jersey,7470,973
William Peace University,15 E Peace St,Raleigh,North Carolina,27604,919
William Penn University,201 Trueblood Ave,Oskaloosa,Iowa,52577,641
William Woods University,One University Avenue,Fulton,Missouri,65251,573
Williams Baptist College,60 W Fulbright Avenue,Walnut Ridge,Arkansas,72476,870
Williams College,880 Main St,Williamstown,Massachusetts,1267,413
Wilmington College,251 Ludovic St,Wilmington,Ohio,45177,800
Wilmington University,320 Dupont Highway,New Castle,Delaware,19720,302
Wilson College,1015 Philadelphia Ave,Chambersburg,Pennsylvania,17201,717
Wingate University,220 North Camden Road,Wingate,North Carolina,28174,704
Winona State University,8th and Johnson St,Winona,Minnesota,55987,507
Winston-Salem State University,601 Martin Luther King Jr Dr,Winston-Salem,North Carolina,27110,336
Winthrop University,701 Oakland Avenue,Rock Hill,South Carolina,29733,803
Wisconsin Lutheran College,8800 W Bluemound Rd,Milwaukee,Wisconsin,53226,414
Wittenberg University,Ward St at N Wittenberg Ave,Springfield,Ohio,45504,937
Wofford College,429 N Church St,Spartanburg,South Carolina,29303,864
Woodbury University,7500 Glenoaks Blvd,Burbank,California,91510,818
Worcester Polytechnic Institute,100 Institute Road,Worcester,Massachusetts,1609,508
Worcester State University,486 Chandler St,Worcester,Massachusetts,1602,508
Wright State University,3640 Colonel Glenn Highway,Dayton,Ohio,45435,937
Xavier University of Louisiana,One Drexel Drive,New Orleans,Louisiana,70125,504
Xavier University,3800 Victory Parkway,Cincinnati,Ohio,45207,513
Yale University,105 Wall Street,New Haven,Connecticut,6520,203
Yeshiva University,500 W 185th St,New York,New York,10033,212
York College of Pennsylvania,Country Club Rd,York,Pennsylvania,17405,717
York College,1125 E 8th St,York,Nebraska,68467,402
Youngstown State University,One University Plaza,Youngstown,Ohio,44555,877
