EducationalInstitution,Settlement,City,State,areaCode,postalCode
St. Francis College,180 Remsen Street,Brooklyn Heights,New York,11201,718
St. John's College,1160 Camino Cruz Blanca,Santa Fe,New Mexico,87505,505
St. John's College,60 College Avenue,Annapolis,Maryland,21401,410
St. John's College,729 East Carpenter Street,Springfield,Illinois,62702,
St. Lawrence University,23 Romoda Drive,Canton,New York,13617,315
St. Mary's College of Maryland,18952 E. Fisher Rd,Saint Mary's City,Maryland,20686,240
St. Olaf College,1520 St Olaf Ave,Northfield,Minnesota,55057,507
St. Petersburg College,14025 58th Street North,Clearwater,Florida,33760,727
St. Thomas Aquinas College,125 Rte 340,Sparkill,New York,10976,845
Stanford University,,Stanford,California,94305,650
Stephens College,1200 E Broadway,Columbia,Missouri,65215,573
Sterling College,125 W. Cooper,Sterling,Kansas,67579,620
Sterling College,16 Sterling Drive,Craftsbury Common,Vermont,5827,802
Stetson University,421 N Woodland Blvd,DeLand,Florida,32723,386
Stevens Institute of Technology,Castle Point On Hudson,Hoboken,New Jersey,7030,201
Stevenson University,1525 Greenspring Valley Rd,Stevenson,Maryland,21153,410
Stillman College,3601 Stillman Boulevard,Tuscaloosa,Alabama,35403,205
Stonehill College,320 Washington Street,Easton,Massachusetts,2357,508
Strayer University,1133 15th St NW,Washington,District of Columbia,20005,202
Suffolk University,8 Ashburton Pl Beacon Hill,Boston,Massachusetts,2108,617
Sul Ross State University,400 North Harrison,Alpine,Texas,79832,915
Sullivan University,3101 Bardstown Rd,Louisville,Kentucky,40205,502
Susquehanna University,514 University Ave,Selinsgrove,Pennsylvania,17870,570
Swarthmore College,500 College Ave,Swarthmore,Pennsylvania,19081,610
Sweet Briar College,134 Chapel Drive,Sweet Briar,Virginia,24595,434
Syracuse University,"900 S. Crouse Ave, Suite 600",Syracuse,New York,13244,315
Tabor College,400 S Jefferson,Hillsboro,Kansas,67063,620
Talladega College,627 W Battle St,Talladega,Alabama,35160,256
Tarleton State University,1333 W. Washington,Stephenville,Texas,76402,254
Taylor University,236 W Reade Ave,Upland,Indiana,46989,765
Temple University,1801 North Broad Street,Philadelphia,Pennsylvania,19122,215
Tennessee State University,3500 John A. Merritt Blvd,Nashville,Tennessee,37209,615
Tennessee Technological University,1 William L. Jones Drive,Cookeville,Tennessee,38505,931
Tennessee Wesleyan College,204 East College Street,Athens,Tennessee,37303,423
Texas Christian University,2800 S University Dr,Fort Worth,Texas,76129,817
Texas College,2404 N. Grand Avenue,Tyler,Texas,75702,903
Texas Lutheran University,1000 W. Court St,Seguin,Texas,78155,830
Texas Southern University,3100 Cleburne St,Houston,Texas,77004,713
Texas State University,601 University Dr,San Marcos,Texas,78666,512
Texas Tech University Health Sciences Center,"3601 4th Street, Room 3B305A",Lubbock,Texas,79430,806
Texas Tech University,2500 Broadway,Lubbock,Texas,79409,806
